Code #,Name,God,Rarity,Tags,Role,Cost,Priority,Simplified Description,Card Description,WIP Status,Implemented,Column 1,Column 2
EXPERIMENTAL,So Long Gay Bowser,Default,?????,Attack,Point,9,,,Execute the opponent Fae.,Experimental,,,
FND-AB-001,Scrap,Anvi [Scrap/Tokens],Uncommon,Utility,Basic,0,,,"As an additional cost to play this card, discard a card from your hand. Create Scrap equal to that card's mana cost.",Official,Yes,,
FND-AB-002,Cracked Shield,Anvi [Scrap/Tokens],Common,Defensive,Basic,1,,,Defend 29%. Create a Scrap.,In progress,,,
FND-AF-001,Scrappy Blow,Anvi [Scrap/Tokens],Uncommon,Attack,Forward,2,,,"As an additional cost to play this card, discard a token card from your hand. 125% Attack. If you have 50% HP or less, 175% Attack instead.",In progress,,,
FND-AF-002,Reusable Hilt,Anvi [Scrap/Tokens],Uncommon,Attack,Forward,1,,,Attack 42%. Create a Scrap. ,In progress,,,
FND-AF-003,Junkshot,Anvi [Scrap/Tokens],Rare,Attack,Forward,1,,,"As an additional cost to play this card, discard a token card. Inflict 8 direct damage to opponent Fae.",In progress,,,
FND-AG-001,Throwaway Shield,Anvi [Scrap/Tokens],Uncommon,Defensive,Guard,2,,,"As an additional cost to play this card, discard any number of token cards from you hand. Gain Veil equal to 5 times that amount.",In progress,,,
FND-AP-001,Longsword Blueprint,Anvi [Scrap/Tokens],Uncommon,Utility,Point,2,,,Forge a Longsword (0/3).,Experimental,,,
FND-AP-002,Junkyard Deal,Anvi [Scrap/Tokens],Uncommon,Utility,Point,3,,,Create 10 Scrap in all ally Fae decks.,In progress,,,
FND-AP-003,Search for Scrap,Anvi [Scrap/Tokens],Uncommon,Utility,Point,2,,,Roll a d8 dice. Shuffle that many Scrap in all ally Fae decks. ,,,,
FND-AU-001,Hammer Head,Anvi [Scrap/Tokens],Uncommon,Attack,Ignetor,2,,,"As an additional cost to play this card, discard a token card and consume 1 Heat. Attack 140%.",Official,Yes,,
FND-AU-002,Heat Pump,Anvi [Scrap/Tokens],Uncommon,Attack,Ignetor,0,,,20% Attack. Gain 2 Heat. Inflict 1 Burn.,Official,Yes,,
FND-AU-003,Treatz,Anvi [Scrap/Tokens],Uncommon,Utility,Ignetor,2,,,"As an additional cost to play this card, discard any amount of token cards. Gain 1 Heat per card discarded. Gain Regen equal to the amount of Heat you have. Gain 1 mp.",Official,Yes,,
FND-AU-004,Double Bite,Anvi [Scrap/Tokens],Uncommon,Attack,Ignetor,2,,,50% Attack twice. Inflict 1 Burn per damaging hit.,Official,Yes,,
FND-AU-005,Molten Bubble,Anvi [Scrap/Tokens],Uncommon,Attack,Ignetor,1,,,"As an additional cost to play this card, discard a token card. Inflict (35% ATK) unblockable damage to the opponent Fae. Inflict 2 Burn",Official,Yes,,
FND-AU-006,Land Dive,Anvi [Scrap/Tokens],Rare,Defensive,Ignetor,1,,,"As an additional cost to play this card, consume 1 Heat. Prevent the next instance of damage this Fae would take. On your next turn, instead of taking an action, 60% Attack instead.",Official,No,,
FND-AU-007,Mechanical Ravage,Anvi [Scrap/Tokens],Rare,Utility,Ignetor,3,,,"You may only play this card if the opponent Fae has 50% HP or less. 50% Attack, then inflict 1 Burn per damaging hit. Repeat this as long as you have Heat. Gain 1 mp.",In progress,Updated,,
FND-AU-008,Combustfang,Anvi [Scrap/Tokens],Rare,Offensive,Ignetor,1,,,You may only play this card if this Fae has 4 or more Heat. Attack 85%. Inflict 5 Burn. ,In progress,Updated,,
FND-AU-009,Blood in the Tremors,Anvi [Scrap/Tokens],Epic,Offensive,Ignetor,5,,,"Attack 200%. If the opponent Fae has 30% HP or less, Execute them.",In progress,Updated,,
FND-AU-010,Lava Soaked,Anvi [Scrap/Tokens],Epic,Offensive,Ignetor,1,,,Become Overheated for the rest of the game. Ignore any Heat requirements on other cards.,In progress,Updated,,
FND-AU-011,Armguards,Anvi [Scrap/Tokens],Uncommon,Defensive,Junkguard,2,,,"As an additional cost to play this card, discard 2 token cards. 200% Defend. Shuffle a Scrap into all ally Fae decks.",In progress,,,
FND-AU-012,Re Boot,Anvi [Scrap/Tokens],Uncommon,Offensive,Junkguard,2,,,"10% Attack. If Tagged, swap out the opponent Fae. ",In progress,,,
FND-AU-013,Command: Build Shields,Anvi [Scrap/Tokens],Uncommon,Utility,Junkguard,1,,,"Shuffle 10 ""Block"" cards into your deck. They are token cards in addition to their other types.",In progress,,,
FND-AU-014,Built to Last,Anvi [Scrap/Tokens],Uncommon,Utility,Junkguard,0,,,"For the rest of the game, whenever Junkguard discard a token card, 5% Defend.",In progress,,,
FND-AU-015,Friend,Anvi [Scrap/Tokens],Uncommon,Defensive,Junkguard,2,,,"20% Defend. If Tagged, next round, if your active Fae is not a Machine, heal them equal to the amount of Block discarded this round.",In progress,,,
FND-AU-016,Power Down,Anvi [Scrap/Tokens],Rare,Defensive,Junkguard,3,,,Discard your hand and lose all heat. Heal 10% of your HP per card discarded. (20% per heat consumed) Defend.,In progress,,,
FND-AU-017,01101110 01101111,Anvi [Scrap/Tokens],Rare,Offensive,Junkguard,3,,,"As an additional cost to play this card, discard 2 token cards. Nullify the card the opponent plays this round. 100% Attack.",In progress,,,
FND-AU-018,Eroding Armor,Anvi [Scrap/Tokens],Rare,Defensive,Junkguard,1,,,Lose 20% of your HP. 200% Defend. Shuffle 2 Scrap into all ally Fae decks.,In progress,,,
FND-AU-019,Built to Protect,Anvi [Scrap/Tokens],Epic,Defensive,Junkguard,3,,,"As an additional cost to play this card, discard 2 token cards. 1000% Defend. Swap to another Fae, they gain Block equal to the amount Junkguard had before swapping. Then, execute Junkguard.",In progress,,,
FND-AU-020,Breaking Point,Anvi [Scrap/Tokens],Epic,Utility,Junkguard,0,,,"For the rest of the round, whenever Junkguard's Block is consumed, the opponent Fae takes that much damage. ",In progress,,,
FND-AU-021,The Cycle,Anvi [Scrap/Tokens],Uncommon,Utility,Lil' Furnace,0,,,"Discard any number of token cards. Then, create that many Scrap in all ally Fae decks and draw that many cards.",,,,
FND-AU-022,Vomit Ingots,Anvi [Scrap/Tokens],Uncommon,Utility,Lil' Furnace,0,,,"If you've discarded 5 or more Scrap this game, create 5 Gold in ally Fae decks.",,,,
FND-AU-023,Blasting Furnace,Anvi [Scrap/Tokens],Uncommon,Offensive,Lil' Furnace,1,,,"As an additional cost to play this card, discard any token card. All ally Faes gain Attack Up 1. 45% Attack.",,,,
FND-AU-024,Refractory Lining,Anvi [Scrap/Tokens],Uncommon,Defensive,Lil' Furnace,1,,,"As an additional cost to play this card, discard any token card. All ally Faes gain Defense Up 1. 45% Defend.",,,,
FND-AU-025,Stack Skimming,Anvi [Scrap/Tokens],Uncommon,Utility,Lil' Furnace,0,,,Create 2 Scrap. Clear the next positive effect Lil' Furnace gains.,,,,
