Mill X,Take the top X cards of your deck and put it into your graveyard,,,
Drown X,"If you have Drown greater than your current health by the end of your turn, you die. (Removes on switchout)",,,
Salvage,dunno if we want this to be a keyword,,,
Block X,"Number representing the next amount of dmg you can negate this round, goes down equal to dmg taken, lose all at end of round.",,,
Spin (rng keyword marker),We'll do something with this too,,,
Blackjack,Additional effects if this is at the top of your deck when you play a card from hand. BJ effect will trigger AFTER the initial card has resolved. BJ cards enter GY after triggering.,,,
Switch,Turn I switch in effects,,,
Reanimate,"Turns into a creature, does stuff for a bit and dies",,,
Scrap,Token (0 cost do nothing),,,
Forge,Make the Forge stuff stronger,,,"Forge is 2 keywords, Forgeable (given to cards that can be upgraded by Forge) and Forge X the amount of times you're forging a card. "
Craft,Opens a menu and you get to choose cards from a list!,,,
Heat,"I'm not typing this out, same as last time",,,
Burn X,"Does X dmg at the end of the round, then decrease this number by 1",,,
Focus X,"Reduce cost of next card drawn by 1, then decrease X by 1",,,
Fatigue X,"Increase cost of next card drawn by 1, then decrease X by 1",,,
Gold,"Token (0 cost, gain 1 energy, draw 1)",,,
Rooted X,Buffs for how long they've been in?,,,
Recycle,Put to the bottom of your deck,,,
Fold,Effect when Discarded,,,
ATK/DEF +X,10% boost in associatrd stat for each stack of X,,,
